Department,ATC5,Order_number,Order_name,Strength,Type_of_Medicine,Package_size,Cost,Number_of_Packages,Cost_w1,Number_of_Packages_w1,Cost_w2,Number_of_Packages_w2,Cost_w3,Number_of_Packages_w3,Cost_w4,Number_of_Packages_w4,Cost_w5,Number_of_Packages_w5,Cost_w6,Number_of_Packages_w6,Cost_w7,Number_of_Packages_w7,Cost_w8,Number_of_Packages_w8,Cost_w9,Number_of_Packages_w9,Cost_w10,Number_of_Packages_w10,Cost_w11,Number_of_Packages_w11,Cost_w12,Number_of_Packages_w12,Cost_w13,Number_of_Packages_w13,Cost_w14,Number_of_Packages_w14,Cost_w15,Number_of_Packages_w15,Cost_w16,Number_of_Packages_w16,Cost_w17,Number_of_Packages_w17,Cost_w18,Number_of_Packages_w18,Cost_w19,Number_of_Packages_w19,Cost_w20,Number_of_Packages_w20,Cost_w21,Number_of_Packages_w21,Cost_w22,Number_of_Packages_w22,Cost_w23,Number_of_Packages_w23,Cost_w24,Number_of_Packages_w24,Cost_w25,Number_of_Packages_w25,Cost_w26,Number_of_Packages_w26,Cost_w27,Number_of_Packages_w27,Cost_w28,Number_of_Packages_w28,Cost_w29,Number_of_Packages_w29,Cost_w30,Number_of_Packages_w30,Cost_w31,Number_of_Packages_w31,Cost_w32,Number_of_Packages_w32,Cost_w33,Number_of_Packages_w33,Cost_w34,Number_of_Packages_w34,Cost_w35,Number_of_Packages_w35,Cost_w36,Number_of_Packages_w36,Cost_w37,Number_of_Packages_w37,Cost_w38,Number_of_Packages_w38,Cost_w39,Number_of_Packages_w39,Cost_w40,Number_of_Packages_w40,Cost_w41,Number_of_Packages_w41,Cost_w42,Number_of_Packages_w42,Cost_w43,Number_of_Packages_w43,Cost_w44,Number_of_Packages_w44,Cost_w45,Number_of_Packages_w45,Cost_w46,Number_of_Packages_w46,Cost_w47,Number_of_Packages_w47,Cost_w48,Number_of_Packages_w48,Cost_w49,Number_of_Packages_w49,Cost_w50,Number_of_Packages_w50,Cost_w51,Number_of_Packages_w51,Cost_w52,Number_of_Packages_w52,Portionsize,Quantity,Adm_way,Strength_measure,Key,Units
"NK, Department of Neurosurgery",H02AB09,121274,Solu-cortef,100,pulv.og sol.t.inj.op,5 to-delte htgl.+solv. u/kons.,759.92,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.96,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.96,2.0,,,,,,,,,,,,,,,,,0.0,0.0,IMIV,MG,"['H02AB09', '100', 'MG', 'IMIV']",0.0
"NK, Department of Neurosurgery",J01CF02,551489,Cloxacillin Macure,1,"pul.t.inj.+inf.,opl.",10 x 1 g,184611.25,521.0,3500.0,10.0,,,7000.0,20.0,,,5600.0,16.0,2100.0,6.0,3500.0,10.0,2100.0,6.0,9100.0,26.0,3500.0,10.0,7000.0,20.0,12600.0,36.0,,,3500.0,10.0,5600.0,16.0,,,5708.0,16.0,,,10702.5,30.0,,,5708.0,16.0,,,7135.0,20.0,,,8918.75,25.0,3567.5,10.0,3567.5,10.0,,,2497.25,7.0,,,9632.25,27.0,,,,,,,3567.5,10.0,3567.5,10.0,,,,,10345.75,29.0,,,5351.25,15.0,7135.0,20.0,3567.5,10.0,,,10702.5,30.0,,,,,3567.5,10.0,5351.25,15.0,5351.25,15.0,3567.5,10.0,,,1.0,10.0,IV,G,"['J01CF02', '1', 'G', 'IV']",5210.0
"NK, Department of Neurosurgery",J01DC02,79017,Cefuroxim Fresenius Kabi,750,"pul.t.inj.+inf.,opl.",10 x 750 mg,110.7,3.0,,,,,,,,,,,,,,,,,36.9,1.0,,,,,,,73.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.0,10.0,IMIV,MG,"['J01DC02', '750', 'MG', 'IMIV']",30.0
"NK, Department of Neurosurgery",J01DC02,79142,Cefuroxim Fresenius Kabi,1.500,"pul.t.inj.+inf.,opl.","10 x 1,5 g",696.15,13.0,,,53.55,1.0,53.55,1.0,53.55,1.0,,,53.55,1.0,,,,,53.55,1.0,107.1,2.0,107.1,2.0,53.55,1.0,53.55,1.0,53.55,1.0,,,,,,,53.55,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,10.0,IV,MG,"['J01DC02', '1.500', 'MG', 'IV']",130.0
"NK, Department of Neurosurgery",J01DC02,133174,Cefuroxim Stragen,750,"pul.t.inj.+inf.,opl.",10 stk.,40.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,1.0,,,,,,,0.0,10.0,IV,MG,"['J01DC02', '750', 'MG', 'IV']",10.0
"NK, Department of Neurosurgery",J01DC02,435743,Cefuroxim Stragen,250,"pulv.t.inj.væske,opl",10 x 250 mg,2271.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1514.6,2.0,,,250.0,10.0,,MG,"['J01DC02', '250', 'MG', nan]",30.0
"NK, Department of Neurosurgery",J01DC02,444892,Cefuroxim Stragen,1.500,"pul.t.inj.+inf.,opl.",10 stk.,2502.63,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.0,1.0,596.0,2.0,,,55.47,1.0,55.47,1.0,166.41,3.0,55.47,1.0,,,55.47,1.0,,,,,110.94,2.0,,,110.94,2.0,55.47,1.0,,,110.94,2.0,,,,,,,55.47,1.0,,,110.94,2.0,,,,,110.94,2.0,,,55.47,1.0,166.41,3.0,110.94,2.0,,,,,110.94,2.0,110.94,2.0,,,0.0,10.0,IV,MG,"['J01DC02', '1.500', 'MG', 'IV']",320.0
"NK, Department of Neurosurgery",J01DC02,472699,Cefuroxim B. Braun,"1,5",pulv.og sol.t.inf.op,24 x 50 ml,1720.38,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720.38,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,24.0,IV,G,"['J01DC02', '1,5', 'G', 'IV']",24.0
"NK, Department of Neurosurgery",J01DH02,57868,Meropenem Bradex,1,"pul.t.inj.+inf.,opl.",10 stk.,265.02,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.02,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,IV,G,"['J01DH02', '1', 'G', 'IV']",10.0
"NK, Department of Neurosurgery",J01DH02,438641,Meropenem Fresenius Kabi,1.000,"pul.t.inj.+inf.,opl.",10 stk.,276.81,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.81,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,IV,MG,"['J01DH02', '1.000', 'MG', 'IV']",10.0
"NK, Department of Neurosurgery",J01GB03,89540,Hexamycin,40,"inj.væske, opløsning",10 amp. a 2 ml,234.03,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.03,1.0,,,,,,,,,2.0,10.0,IV,MGM,"['J01GB03', '40', 'MGM', 'IV']",10.0
"NK, Department of Neurosurgery",J01GB03,870022,Genta-Coll,0,implantat,5 stk. (5 x 5 cm),1713.4,1.0,,,,,,,,,,,,,,,,,,,,,,,1713.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,MP,,"['J01GB03', '0', nan, 'MP']",5.0
"NK, Department of Neurosurgery",J01XA01,144309,Bactocin,500,"pulv.t.inf.væske,opl",5 stk.,1092.98,14.0,,,,,,,,,,,,,,,,,312.28,4.0,,,,,,,,,,,,,,,,,,,,,,,312.28,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.42,6.0,,,,,,,,,,,,,,,,,,,0.0,5.0,IV,MG,"['J01XA01', '500', 'MG', 'IV']",70.0
"NK, Department of Neurosurgery",M01AE01,27363,Ibumetin,400,filmovertrukne tabl.,250 stk.,382.68,8.0,,,,,,,40.0,1.0,,,,,,,,,40.0,1.0,,,,,51.35,1.0,,,,,,,,,,,,,,,51.35,1.0,,,,,,,,,,,,,,,,,,,,,,,51.35,1.0,,,,,,,,,,,,,51.35,1.0,,,,,,,,,,,51.35,1.0,,,,,,,,,45.93,1.0,,,,,0.0,250.0,OR,MG,"['M01AE01', '400', 'MG', 'OR']",2000.0
"NK, Department of Neurosurgery",M03AC09,166497,Rocuronium Fresenius Kabi,10,"inj.-/inf.vsk.,opl.",10 x 5 ml,34281.0,390.0,439.5,5.0,439.5,5.0,1230.6,14.0,879.0,10.0,,,879.0,10.0,439.5,5.0,,,,,,,,,,,879.0,10.0,1406.4,16.0,791.1,9.0,527.4,6.0,791.1,9.0,879.0,10.0,703.2,8.0,879.0,10.0,351.6,4.0,1054.8,12.0,966.9,11.0,879.0,10.0,879.0,10.0,1142.7,13.0,439.5,5.0,791.1,9.0,527.4,6.0,615.3,7.0,439.5,5.0,879.0,10.0,879.0,10.0,703.2,8.0,,,791.1,9.0,527.4,6.0,,,2900.7,33.0,,,966.9,11.0,703.2,8.0,439.5,5.0,966.9,11.0,879.0,10.0,527.4,6.0,879.0,10.0,791.1,9.0,527.4,6.0,615.3,7.0,703.2,8.0,351.6,4.0,5.0,10.0,IV,MGM,"['M03AC09', '10', 'MGM', 'IV']",3900.0
"NK, Department of Neurosurgery",M03AC09,871963,Rocuronium Bromide (ls),10,"inj.-/inf.vsk.,opl.",10 x 5 ml,3603.9,41.0,,,,,,,,,,,,,,,879.0,10.0,263.7,3.0,1230.6,14.0,1230.6,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0,IV,MGM,"['M03AC09', '10', 'MGM', 'IV']",410.0
"NK, Department of Neurosurgery",M03AC09,872046,Rokuronijev Bromid (ls),10,"inj.-/inf.vsk.,opl.",10 x 5 ml,-87.9,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,703.2,8.0,,,,,,,,,,,,,,,,,,,-791.1,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0,IV,MGM,"['M03AC09', '10', 'MGM', 'IV']",-10.0
"NK, Department of Neurosurgery",N01AH01,7007,Fentanyl Hameln,50,"inj.væske, opløsning",10 x 2 ml,807.18,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.68,16.0,,,61.15,5.0,,,,,183.45,15.0,61.15,5.0,61.15,5.0,122.3,10.0,,,,,,,61.15,5.0,61.15,5.0,2.0,10.0,IV,RGM,"['N01AH01', '50', 'RGM', 'IV']",660.0
"NK, Department of Neurosurgery",N01AH01,71025,Fentanyl B. Braun,50,"inj.væske, opløsning",10 x 2 ml,3477.13,178.0,37.89,3.0,126.3,10.0,,,,,63.15,5.0,101.04,8.0,101.04,8.0,50.52,4.0,,,88.41,7.0,63.15,5.0,101.04,8.0,,,88.41,7.0,138.93,11.0,,,63.15,5.0,101.2,4.0,177.1,7.0,101.2,4.0,151.8,6.0,151.8,6.0,177.1,7.0,202.4,8.0,101.2,4.0,,,75.9,3.0,151.8,6.0,75.9,3.0,177.1,7.0,101.2,4.0,101.2,4.0,,,101.2,4.0,126.5,5.0,101.2,4.0,151.8,6.0,126.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,IV,RGM,"['N01AH01', '50', 'RGM', 'IV']",1780.0
"NK, Department of Neurosurgery",N01AH01,71036,Fentanyl B. Braun,50,"inj.væske, opløsning",10 x 10 ml,123.9,2.0,,,,,,,,,,,,,,,,,,,123.9,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,IV,RGM,"['N01AH01', '50', 'RGM', 'IV']",20.0
"NK, Department of Neurosurgery",N01AH06,84304,Remifentanil Fresenius Kabi,2,pulv.t.konc. inj/inf,5 stk.,1156.44,8.0,,,,,,,,,,,,,,,,,,,,,304.26,2.0,,,304.26,2.0,,,,,,,,,,,,,,,273.96,2.0,,,,,,,,,,,,,273.96,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,IV,MG,"['N01AH06', '2', 'MG', 'IV']",40.0
"NK, Department of Neurosurgery",N01AH06,189021,Remifentanil Fresenius Kabi,1,pulv.t.konc. inj/inf,5 stk.,337.71,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.71,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,IV,MG,"['N01AH06', '1', 'MG', 'IV']",15.0
"NK, Department of Neurosurgery",N01AH06,199661,Ultiva,5,pulv.t.konc. inj/inf,5 stk.,1344.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120.75,5.0,224.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,IV,MG,"['N01AH06', '5', 'MG', 'IV']",30.0
"NK, Department of Neurosurgery",N01AH06,579308,Remifentanil Fresenius Kabi,5,pulv.t.konc. inj/inf,5 stk.,134314.61,602.0,2863.56,12.0,2863.56,12.0,5965.75,25.0,,,2386.3,10.0,3579.45,15.0,1909.04,8.0,2386.3,10.0,2386.3,10.0,4295.34,18.0,3579.45,15.0,7158.9,30.0,2386.3,10.0,,,2386.3,10.0,2386.3,10.0,3450.88,16.0,3235.2,15.0,3882.24,18.0,,,1941.12,9.0,3235.2,15.0,2803.84,13.0,2156.8,10.0,2156.8,10.0,5392.0,25.0,2156.8,10.0,,,3235.2,15.0,2156.8,10.0,1078.4,5.0,2156.8,10.0,2156.8,10.0,,,2156.8,10.0,3882.24,18.0,1725.44,8.0,2156.8,10.0,5392.0,25.0,2156.8,10.0,3235.2,15.0,,,3235.2,15.0,5392.0,25.0,1078.4,5.0,2156.8,10.0,3235.2,15.0,2156.8,10.0,1078.4,5.0,3235.2,15.0,3235.2,15.0,1078.4,5.0,0.0,5.0,IV,MG,"['N01AH06', '5', 'MG', 'IV']",3010.0
"NK, Department of Neurosurgery",N01AX10,21636,Propolipid,10,"inj.-/inf.vsk.,emul",10 x 100 ml,74900.21,407.0,1656.27,9.0,1472.24,8.0,1840.3,10.0,736.12,4.0,1104.18,6.0,1656.27,9.0,1104.18,6.0,1472.24,8.0,1104.18,6.0,2024.33,11.0,1288.21,7.0,2944.48,16.0,1472.24,8.0,,,1656.27,9.0,1288.21,7.0,1104.18,6.0,2024.33,11.0,1840.3,10.0,1840.3,10.0,736.12,4.0,1656.27,9.0,2024.33,11.0,1104.18,6.0,1840.3,10.0,1656.27,9.0,1472.24,8.0,1104.18,6.0,1472.24,8.0,920.15,5.0,368.06,2.0,1840.3,10.0,552.09,3.0,1104.18,6.0,920.15,5.0,1288.21,7.0,1104.18,6.0,1472.24,8.0,2208.36,12.0,920.15,5.0,1472.24,8.0,1656.27,9.0,2208.36,12.0,1472.24,8.0,1472.24,8.0,1288.21,7.0,1472.24,8.0,1104.18,6.0,4048.66,22.0,552.09,3.0,1288.21,7.0,1472.24,8.0,100.0,10.0,IV,MGM,"['N01AX10', '10', 'MGM', 'IV']",4070.0
"NK, Department of Neurosurgery",N01AX10,81821,Propolipid,10,"inj.-/inf.vsk.,emul",5 x 20 ml,79.84,4.0,,,,,,,,,,,,,,,,,,,,,,,,,79.84,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,IV,MGM,"['N01AX10', '10', 'MGM', 'IV']",20.0
"NK, Department of Neurosurgery",N01AX10,161528,Propofol B. Braun,5,"inj.-/inf.vsk.,emul",5 x 20 ml,43553.0,194.0,1122.5,5.0,,,898.0,4.0,,,898.0,4.0,898.0,4.0,,,1122.5,5.0,898.0,4.0,1796.0,8.0,898.0,4.0,1796.0,8.0,,,,,1122.5,5.0,1122.5,5.0,1796.0,8.0,1122.5,5.0,1347.0,6.0,1796.0,8.0,,,1347.0,6.0,,,1347.0,6.0,1347.0,6.0,1122.5,5.0,673.5,3.0,,,1122.5,5.0,449.0,2.0,,,1122.5,5.0,,,898.0,4.0,,,1347.0,6.0,,,,,3367.5,15.0,,,2245.0,10.0,673.5,3.0,898.0,4.0,1571.5,7.0,1122.5,5.0,1796.0,8.0,,,,,1347.0,6.0,,,1122.5,5.0,,,20.0,5.0,IV,MGM,"['N01AX10', '5', 'MGM', 'IV']",970.0
"NK, Department of Neurosurgery",N01BB01,123918,Marcain,"2,5","inj.væske, opløsning",5 x 20 ml,221.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,EDIRPE,MGM,"['N01BB01', '2,5', 'MGM', 'EDIRPE']",10.0
"NK, Department of Neurosurgery",N01BB02,437249,Xylocaine,10,"kutanspray, opløsn.",50 ml,2354.03,25.0,94.19,1.0,,,,,,,,,,,,,,,282.57,3.0,,,282.57,3.0,,,,,,,,,,,,,376.6,4.0,,,,,,,,,,,,,376.6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,282.45,3.0,,,,,,,,,,,,,,,376.6,4.0,,,,,,,282.45,3.0,,,50.0,1.0,KU,MGD,"['N01BB02', '10', 'MGD', 'KU']",25.0
"NK, Department of Neurosurgery",N01BB02,443122,Xylocain,10,"inj.væske, opløsning",5 x 20 ml,436.98,9.0,,,,,,,,,,,,,54.22,1.0,,,,,108.44,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.44,2.0,,,,,,,,,,,,,,,,,91.44,2.0,,,,,,,91.44,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,EDIRIVPE,MGM,"['N01BB02', '10', 'MGM', 'EDIRIVPE']",45.0
"NK, Department of Neurosurgery",N01BB02,518595,Xylocain ukonserveret,2,gel,10 x 10 g,7836.72,43.0,,,,,,,,,,,,,,,732.16,4.0,,,,,,,,,,,,,366.08,2.0,183.04,1.0,730.16,4.0,,,546.12,3.0,546.12,3.0,364.08,2.0,364.08,2.0,364.08,2.0,,,546.12,3.0,546.12,3.0,364.08,2.0,,,364.08,2.0,,,364.08,2.0,,,,,,,,,,,,,546.12,3.0,364.08,2.0,546.12,3.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,LO,PC,"['N01BB02', '2', 'PC', 'LO']",430.0
"NK, Department of Neurosurgery",N01BB02,591418,Xylocain,20,"inj.væske, opløsning",5 x 20 ml,2054.45,41.0,,,,,164.52,3.0,,,,,,,,,164.52,3.0,109.68,2.0,109.68,2.0,,,,,164.52,3.0,,,,,,,143.52,3.0,,,143.52,3.0,,,,,143.52,3.0,,,,,,,,,143.52,3.0,,,,,,,,,,,287.04,6.0,,,,,,,,,,,,,,,,,95.68,2.0,,,143.52,3.0,,,,,95.68,2.0,,,,,145.53,3.0,,,,,20.0,5.0,EDIVPE,MGM,"['N01BB02', '20', 'MGM', 'EDIVPE']",205.0
"NK, Department of Neurosurgery",N01BB02,721651,Lidokain steril,40,opløsning,10 x 10 ml,250.16,2.0,,,,,,,,,,,,,,,,,,,,,,,,,125.08,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.08,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,LO,MGM,"['N01BB02', '40', 'MGM', 'LO']",20.0
"NK, Department of Neurosurgery",N01BB02,871110,OptiLube Active CHG Free,2,gel,10 x 11 ml,6293.0,58.0,759.5,7.0,,,,,325.5,3.0,,,,,,,325.5,3.0,,,868.0,8.0,,,108.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,2.0,217.0,2.0,651.0,6.0,,,,,,,,,217.0,2.0,217.0,2.0,325.5,3.0,217.0,2.0,,,217.0,2.0,217.0,2.0,217.0,2.0,651.0,6.0,542.5,5.0,,,11.0,10.0,LO,PC,"['N01BB02', '2', 'PC', 'LO']",580.0
"NK, Department of Neurosurgery",N01BB51,121374,Marcain-adrenalin,0,"inj.væske, opløsning",5 x 20 ml,8922.95,47.0,,,,,569.55,3.0,,,,,,,,,569.55,3.0,,,379.7,2.0,,,,,569.55,3.0,,,,,,,759.4,4.0,,,,,,,,,,,,,,,,,569.55,3.0,,,,,379.7,2.0,,,759.4,4.0,,,,,,,,,,,1139.1,6.0,,,,,,,,,569.55,3.0,,,759.4,4.0,189.85,1.0,949.25,5.0,759.4,4.0,,,,,,,,,,,20.0,5.0,ILIRPE,,"['N01BB51', '0', nan, 'ILIRPE']",235.0
"NK, Department of Neurosurgery",N01BB51,130429,Marcain-adrenalin,0,"inj.væske, opløsning",5 x 20 ml,85221.68,446.0,1910.8,10.0,1910.8,10.0,1910.8,10.0,1910.8,10.0,1910.8,10.0,3821.6,20.0,1910.8,10.0,1910.8,10.0,1146.48,6.0,2292.96,12.0,1910.8,10.0,3821.6,20.0,1146.48,6.0,,,4777.0,25.0,,,3821.6,20.0,1910.8,10.0,1910.8,10.0,1910.8,10.0,1910.8,10.0,1910.8,10.0,2292.96,12.0,2484.04,13.0,2866.2,15.0,,,3821.6,20.0,,,3821.6,20.0,,,2292.96,12.0,,,1910.8,10.0,,,1910.8,10.0,3057.28,16.0,,,3057.28,16.0,3439.44,18.0,2866.2,15.0,,,1910.8,10.0,955.4,5.0,2866.2,15.0,,,,,,,,,,,,,,,,,20.0,5.0,ILPE,,"['N01BB51', '0', nan, 'ILPE']",2230.0
"NK, Department of Neurosurgery",N01BB51,872377,Marcain-Adrenalin (ls),"2,5 mg/ml +5 mikrog/ml","inj.væske, opløsning",5 x 20 ml,2243.76,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2243.76,12.0,,,,,,,20.0,5.0,0.0,0.0,0.0,60.0
"NK, Department of Neurosurgery",N01BB51,872378,Marcain-Adrenalin (ls),0,"inj.væske, opløsning",5 x 20 ml,16080.28,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3739.6,20.0,1495.84,8.0,1869.8,10.0,934.9,5.0,4674.5,25.0,,,1869.8,10.0,1495.84,8.0,20.0,5.0,ILPE,,"['N01BB51', '0', nan, 'ILPE']",430.0
"NK, Department of Neurosurgery",N02BE01,64318,Paracetamol Orifarm,500,filmovertrukne tabl.,300 stk.,90.18,4.0,22.52,1.0,,,,,,,,,,,,,22.54,1.0,,,22.54,1.0,,,,,,,22.58,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,300.0,OR,MG,"['N02BE01', '500', 'MG', 'OR']",1200.0
"NK, Department of Neurosurgery",N02BE01,83644,Panodil,500,filmovertrukne tabl.,300 stk.,243.66,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.09,1.0,,,28.09,1.0,,,,,,,,,,,27.98,1.0,,,,,,,,,,,,,28.07,1.0,,,28.07,1.0,,,,,,,,,,,28.04,1.0,,,23.7,1.0,,,23.7,1.0,,,,,,,,,27.92,1.0,,,,,0.0,300.0,OR,MG,"['N02BE01', '500', 'MG', 'OR']",2700.0
"NK, Department of Neurosurgery",N02BE01,87612,Paracetamol B. Braun,10,"inf.væske, opløsning",10 x 100 ml,4456.85,126.0,71.12,2.0,137.48,4.0,68.74,2.0,174.23,5.0,142.24,4.0,106.68,3.0,142.24,4.0,71.12,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.3,10.0,212.58,6.0,,,,,35.43,1.0,106.29,3.0,106.29,3.0,106.29,3.0,283.44,8.0,141.72,4.0,177.15,5.0,,,177.15,5.0,283.44,8.0,106.29,3.0,283.44,8.0,212.58,6.0,106.29,3.0,,,141.72,4.0,283.44,8.0,106.29,3.0,248.01,7.0,70.86,2.0,100.0,10.0,IV,MGM,"['N02BE01', '10', 'MGM', 'IV']",1260.0
"NK, Department of Neurosurgery",N02BE01,550624,Panodil Junior,24,oral suspension,60 ml,6.31,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,1.0,OR,MGM,"['N02BE01', '24', 'MGM', 'OR']",1.0
"NK, Department of Neurosurgery",N02BE01,871970,Paracetamol (ls),10,"inf.væske, opløsning",20 x 100 ml,3058.16,43.0,,,,,,,,,,,,,,,142.24,2.0,142.24,2.0,213.36,3.0,71.12,1.0,782.32,11.0,,,,,,,142.24,2.0,,,213.36,3.0,284.48,4.0,213.36,3.0,,,284.48,4.0,,,284.48,4.0,142.24,2.0,142.24,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,20.0,IV,MGM,"['N02BE01', '10', 'MGM', 'IV']",860.0
"NK, Department of Neurosurgery",N02AA01,720301,MORfin,1,"inj.væske, opløsning",10 x 1 ml,1823.85,21.0,,,,,694.8,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.25,5.0,,,,,,,,,,,,,,,347.4,4.0,,,,,,,,,1.0,10.0,,MGM,"['N02AA01', '1', 'MGM', nan]",210.0
"NK, Department of Neurosurgery",N02AA01,722363,MORfin,5,injektionsvæske,10 x 2 ml,13187.0,107.0,,,726.0,6.0,484.0,4.0,,,,,363.0,3.0,,,363.0,3.0,363.0,3.0,484.0,4.0,726.0,6.0,,,,,242.0,2.0,,,363.0,3.0,484.0,4.0,363.0,3.0,605.0,5.0,,,242.0,2.0,,,484.0,4.0,,,605.0,5.0,,,242.0,2.0,484.0,4.0,484.0,4.0,,,,,,,,,,,,,508.0,4.0,381.0,3.0,,,1397.0,11.0,,,381.0,3.0,,,,,508.0,4.0,,,381.0,3.0,,,254.0,2.0,254.0,2.0,254.0,2.0,762.0,6.0,,,2.0,10.0,ED,MGM,"['N02AA01', '5', 'MGM', 'ED']",1070.0
