Department,ATC5,Order_number,Order_name,Strength,Type_of_Medicine,Package_size,Cost,Number_of_Packages,Cost_w1,Number_of_Packages_w1,Cost_w2,Number_of_Packages_w2,Cost_w3,Number_of_Packages_w3,Cost_w4,Number_of_Packages_w4,Cost_w5,Number_of_Packages_w5,Cost_w6,Number_of_Packages_w6,Cost_w7,Number_of_Packages_w7,Cost_w8,Number_of_Packages_w8,Cost_w9,Number_of_Packages_w9,Cost_w10,Number_of_Packages_w10,Cost_w11,Number_of_Packages_w11,Cost_w12,Number_of_Packages_w12,Cost_w13,Number_of_Packages_w13,Cost_w14,Number_of_Packages_w14,Cost_w15,Number_of_Packages_w15,Cost_w16,Number_of_Packages_w16,Cost_w17,Number_of_Packages_w17,Cost_w18,Number_of_Packages_w18,Cost_w19,Number_of_Packages_w19,Cost_w20,Number_of_Packages_w20,Cost_w21,Number_of_Packages_w21,Cost_w22,Number_of_Packages_w22,Cost_w23,Number_of_Packages_w23,Cost_w24,Number_of_Packages_w24,Cost_w25,Number_of_Packages_w25,Cost_w26,Number_of_Packages_w26,Cost_w27,Number_of_Packages_w27,Cost_w28,Number_of_Packages_w28,Cost_w29,Number_of_Packages_w29,Cost_w30,Number_of_Packages_w30,Cost_w31,Number_of_Packages_w31,Cost_w32,Number_of_Packages_w32,Cost_w33,Number_of_Packages_w33,Cost_w34,Number_of_Packages_w34,Cost_w35,Number_of_Packages_w35,Cost_w36,Number_of_Packages_w36,Cost_w37,Number_of_Packages_w37,Cost_w38,Number_of_Packages_w38,Cost_w39,Number_of_Packages_w39,Cost_w40,Number_of_Packages_w40,Cost_w41,Number_of_Packages_w41,Cost_w42,Number_of_Packages_w42,Cost_w43,Number_of_Packages_w43,Cost_w44,Number_of_Packages_w44,Cost_w45,Number_of_Packages_w45,Cost_w46,Number_of_Packages_w46,Cost_w47,Number_of_Packages_w47,Cost_w48,Number_of_Packages_w48,Cost_w49,Number_of_Packages_w49,Cost_w50,Number_of_Packages_w50,Cost_w51,Number_of_Packages_w51,Cost_w52,Number_of_Packages_w52,Portionsize,Quantity
"NK, Department of Neurosurgery",N03AX14,132178,Levetiracetam Medical Valley,250 mg,filmovertrukne tabl.,100 stk. (blister),375.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,1.0,125.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,1.0,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",N03AX14,190004,Levetiracetam Medical Valley,500 mg,filmovertrukne tabl.,100 stk. (blister),1399.55,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.55,1.0,,,,,150.0,1.0,,,,,,,,,,,300.0,2.0,,,,,,,150.0,1.0,150.0,1.0,,,,,,,,,,,300.0,2.0,,,,,,,,,,,,,150.0,1.0,,,,,,,,,150.0,1.0,0.0,100.0
"NK, Department of Neurosurgery",N03AX14,198859,Levetiracetam SUN,100 mg/ml,konc.t.inf.væsk.opl.,10 x 5 ml,7943.0,13.0,,,,,611.0,1.0,,,,,,,,,,,,,,,611.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222.0,2.0,611.0,1.0,,,,,,,,,,,,,,,1222.0,2.0,,,,,,,1222.0,2.0,,,,,,,,,,,611.0,1.0,,,1833.0,3.0,,,,,,,,,5.0,10.0
"NK, Department of Neurosurgery",N03AX16,100807,Pregabalin Krka,25 mg,"kapsler, hårde",56 stk. (blister),17.83,1.0,,,,,,,,,,,,,,,,,,,,,,,17.83,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,56.0
"NK, Department of Neurosurgery",N03AX16,449485,Pregabalin Krka,75 mg,"kapsler, hårde",56 stk. (blister),60.0,2.0,,,,,,,,,,,,,,,,,,,,,30.0,1.0,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,56.0
"NK, Department of Neurosurgery",N03AX18,26605,Vimpat,100 mg,filmovertrukne tabl.,56 stk. (blister),671.54,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.54,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,56.0
"NK, Department of Neurosurgery",N03AX22,88346,Fycompa,2 mg,filmovertrukne tabl.,7 stk. (blister) (Paranova),307.0,1.0,,,,,,,307.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0
"NK, Department of Neurosurgery",N03AX22,411024,Fycompa,6 mg,filmovertrukne tabl.,28 stk. (blister) (Orifarm),841.27,1.0,,,,,,,841.27,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,28.0
"NK, Department of Neurosurgery",N03AX22,418131,Fycompa,4 mg,filmovertrukne tabl.,28 stk. (blister) (2care4),653.33,1.0,,,,,,,653.33,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,28.0
"NK, Department of Neurosurgery",N04BA02,24018,Sinemet 25/100,25+100 mg,tabletter,100 stk.,96.46,1.0,,,,,,,,,,,96.46,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",N04BA03,472838,Levodopa/Carbi./Entaca. Orion,100+25+200 mg,filmovertrukne tabl.,100 stk.,172.0,1.0,,,,,,,,,,,172.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",N04BC06,511615,Cabaser,1 mg,tabletter,30 stk.,661.54,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.54,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0
"NK, Department of Neurosurgery",N05AD01,519033,Serenase,5 mg/ml,"inj.væske, opløsning",5 amp. a 1 ml,52.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8,2.0,,,,,,,,,,,,,,,,,,,1.0,5.0
"NK, Department of Neurosurgery",N05AD08,27271,Dehydrobenzperidol,"2,5 mg/ml","inj.væske, opløsning",10 x 1 ml,1280.0,4.0,,,,,,,,,,,,,,,,,,,320.0,1.0,320.0,1.0,,,,,,,,,,,,,,,,,960.0,3.0,,,320.0,1.0,,,640.0,2.0,,,,,,,,,,,,,,,,,,,,,-1280.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0
"NK, Department of Neurosurgery",N05AD08,872263,Droperidol (ls),"2,5 mg/ml","inj.væske, opløsning",10 x 1 ml,1980.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,2.0,,,,,,,,,,,,,,,,,180.0,1.0,1.0,10.0
"NK, Department of Neurosurgery",N05AH03,5885,Zyprexa,10 mg,"pulv.t.inj.væske,opl",1 stk.,179.44,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.44,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
"NK, Department of Neurosurgery",N05AH03,34945,Olanzapin Stada,"2,5 mg",filmovertrukne tabl.,28 stk. (blister),17.22,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,1.0,,,,,,,,,,,,,,,,,8.92,1.0,,,,,,,,,,,,,0.0,28.0
"NK, Department of Neurosurgery",N05AH03,199504,Olanzapin Stada,5 mg,filmovertrukne tabl.,28 stk. (blister),11.13,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.13,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,28.0
"NK, Department of Neurosurgery",N05AH03,596373,Olanzapin Stada,5 mg,smeltetabletter,28 stk. (blister),115.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,1.0,,,,,,,,,,,,,,,,,,,,,,,93.0,1.0,,,,,0.0,28.0
"NK, Department of Neurosurgery",N05AH04,112704,Quetiapin KRKA,25 mg,filmovertrukne tabl.,100 stk. (blister),13.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",N05AH04,112713,Quetiapin KRKA,100 mg,filmovertrukne tabl.,100 stk. (blister),26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",N05AH04,409977,Quetiapin Accord,25 mg,filmovertrukne tabl.,100 stk. (blister),12.79,1.0,,,,,,,,,,,,,12.79,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",N05AH04,530608,Quetiapin Accord,100 mg,filmovertrukne tabl.,100 stk. (blister),56.0,2.0,,,,,,,,,,,,,,,,,56.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",N05BA01,87449,Stesolid,5 mg/dosis,"rektalvsk.,opl,endos","5 x 2,5 ml",123.53,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.53,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,5.0
"NK, Department of Neurosurgery",N05BA01,379875,Stesolid,5 mg/dosis,"rektalvsk.,opl,endos","5 x 2,5 ml",95.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,5.0
"NK, Department of Neurosurgery",N05BA01,871873,Diazepam Renaudin (ls),5 mg/ml,"inj.væske, opløsning",10 x 2 ml,1404.0,13.0,,,216.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,432.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,216.0,2.0,,,108.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.0,4.0,,,,,,,,,,,2.0,10.0
"NK, Department of Neurosurgery",N05BA04,130849,Oxapax,15 mg,tabletter,50 Stk.,180.57,5.0,,,,,,,,,,,,,,,,,,,,,36.2,1.0,,,,,,,,,,,,,,,,,36.12,1.0,,,,,,,36.11,1.0,,,,,36.11,1.0,,,,,,,,,,,,,,,,,36.03,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.0
"NK, Department of Neurosurgery",N05BA04,131342,Oxapax,15 mg,tabletter,100 stk.,28.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,1.0,,,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",N05BA04,510352,Oxazepam Alternova,15 mg,tabletter,50 stk. (blister),104.07,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.07,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.0
"NK, Department of Neurosurgery",N05BA09,539965,Frisium,10 mg,tabletter,50 stk. (blister),69.45,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.45,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.0
"NK, Department of Neurosurgery",N05BA12,101828,Alprox,1 mg,tabletter,100 stk.,480.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,1.0,120.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,1.0,120.0,1.0,,,,,,,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",N05CD05,43729,Halcion,"0,125 mg",tabletter,30 stk.,85.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0
"NK, Department of Neurosurgery",N05CD08,2085,Midazolam Hameln,5 mg/ml,"inj.-/inf.vsk.,opl.",10 x 1 ml,106.4,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6,3.0,,,,,,,,,,,,,,,,,,,,,,,30.4,2.0,,,,,,,,,,,,,,,,,,,,,,,30.4,2.0,1.0,10.0
"NK, Department of Neurosurgery",N05CD08,2124,Midazolam Hameln,5 mg/ml,"inj.-/inf.vsk.,opl.",5 x 3 ml,22.34,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.34,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0
"NK, Department of Neurosurgery",N05CF01,107839,Imozop,"7,5 mg",filmovertrukne tabl.,100 stk. (blister),119.08,6.0,,,,,,,,,,,,,,,,,29.33,1.0,,,,,,,,,,,,,,,,,17.95,1.0,,,,,,,,,,,,,,,,,17.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,35.9,2.0,,,,,17.95,1.0,,,,,,,,,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",N05CH01,556539,Melatonin Orifarm,3 mg,filmovertrukne tabl.,30 stk.,273.2,7.0,,,,,,,,,,,,,,,,,,,,,,,63.15,1.0,,,,,,,,,,,,,,,,,34.98,1.0,,,,,,,,,,,,,,,34.98,1.0,,,,,,,34.98,1.0,,,,,34.98,1.0,35.04,1.0,,,,,,,,,,,,,,,,,35.09,1.0,,,,,,,,,,,,,0.0,30.0
"NK, Department of Neurosurgery",N06AB04,165689,Citalopram Stada,20 mg,filmovertrukne tabl.,100 stk. (blister),14.23,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.23,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",N06AB06,436025,Sertralin Hexal,50 mg,filmovertrukne tabl.,100 stk. (blister),15.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",N06AB06,579066,Sertralin Accord,50 mg,filmovertrukne tabl.,100 stk. (blister),58.5,1.0,,,,,,,,,,,58.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",N06AX03,41225,Mianserinhydrochlorid 2care4,10 mg,filmovertrukne tabl.,105 STK. (BLISTER),197.0,1.0,,,,,,,,,,,,,,,,,,,,,,,197.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,105.0
"NK, Department of Neurosurgery",N06AX16,573732,Venlafaxin Krka,75 mg,"depotkapsler, hårde",112 stk. (blister),55.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,112.0
"NK, Department of Neurosurgery",N06AX21,576913,Duloxetin Hexal,30 mg,"enterokapsler, hårde",28 stk. (blister),31.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,1.0,,,15.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,28.0
"NK, Department of Neurosurgery",N06BA04,13068,Ritalin Uno,20 mg,kap.m.mod.udløs.hård,30 stk.,250.0,1.0,,,,,,,,,,,,,,,,,250.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0
"NK, Department of Neurosurgery",N06DA02,475595,Donepezil Sandoz,5 mg,filmovertrukne tabl.,30 stk. (blister),22.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0
"NK, Department of Neurosurgery",N06AA09,476474,Amitriptylin DAK,25 mg,filmovertrukne tabl.,100 stk.,92.77,3.0,,,,,,,,,,,,,,,,,,,,,,,36.07,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",N07BA01,65752,Nicorette Invisi,10 mg/16 timer,depotplastre,14 stk.,104.97,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.97,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.0
"NK, Department of Neurosurgery",N07BA01,65775,Nicorette Invisi,25 mg/16 timer,depotplastre,14 stk.,104.97,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.97,1.0,,,0.0,14.0
"NK, Department of Neurosurgery",N07BC02,413728,Metadon DAK,1 mg/ml,oral opløsning,100 ml,62.16,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.08,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.08,1.0,100.0,1.0
"NK, Department of Neurosurgery",P02CA01,156661,Vermox,100 mg,tabletter,6 stk. (blister),23.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0
"NK, Department of Neurosurgery",R05DA04,77689,Kodein Alternova,25 mg,filmovertrukne tabl.,30 stk.,17.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0
"NK, Department of Neurosurgery",R06AD02,166611,Phenergan,25 mg,filmovertrukne tabl.,100 stk. (blister),35.65,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.65,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",R06AE07,170273,Alnok,10 mg,filmovertrukne tabl.,100 stk. (blister),34.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,17.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",R06AA04,530637,Clemastin Paranova,1 mg/ml,"inj.væske, opløsning",5 x 2 ml,451.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0
"NK, Department of Neurosurgery",R06AA11,721180,Dimenhydrinat (Anautin),100 mg,suppositorier,10 stk.,3543.75,21.0,,,,,337.5,2.0,,,,,,,337.5,2.0,,,,,,,,,,,,,,,,,337.5,2.0,,,,,337.5,2.0,,,,,,,337.5,2.0,337.5,2.0,,,,,,,337.5,2.0,,,,,,,,,,,,,,,337.5,2.0,,,,,,,,,,,,,,,,,,,337.5,2.0,,,337.5,2.0,,,168.75,1.0,,,,,0.0,10.0
"NK, Department of Neurosurgery",S01AE03,4458,Ciloxan,3 mg/g,øjensalve,"3,5 g",50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5
"NK, Department of Neurosurgery",S01CA01,109563,Spersadex Comp.,1+5 mg/ml,"øjendrb., opløsning",5 ml,19.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,1.0,,,,,,,,,,,5.0,1.0
"NK, Department of Neurosurgery",S01EC01,598021,Diamox,250 mg,tabletter,100 stk.,226.6,2.0,,,113.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.3,1.0,,,,,,,,,,,0.0,100.0
"NK, Department of Neurosurgery",S01ED51,67037,Costad,20+5 mg/ml,"øjendrb., opløsning",5 ml,46.21,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.21,1.0,,,,,,,,,,,5.0,1.0
"NK, Department of Neurosurgery",S01EE01,497416,Latanoprost Stada,50 mikrogram/ml,"øjendrb., opløsning","2,5 ml",62.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.24,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.06,1.0,,,,,,,,,,,2.5,1.0
"NK, Department of Neurosurgery",S01XA20,39768,Celluvisc,10 mg/ml,"øjendrb.,opl.,endos.","30 x 0,4 ml",36.06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,30.0
"NK, Department of Neurosurgery",S01XA20,145250,Viskøse Øjendråber Ophtha,"3,5 mg/ml",øjendråber,10 ml,1516.2,38.0,,,,,,,,,,,,,119.7,3.0,,,,,,,159.6,4.0,,,,,,,,,,,319.2,8.0,,,,,,,159.6,4.0,,,,,,,,,,,159.6,4.0,,,159.6,4.0,,,,,,,,,,,,,,,,,,,159.6,4.0,,,,,,,,,,,,,,,,,,,159.6,4.0,,,,,119.7,3.0,10.0,1.0
"NK, Department of Neurosurgery",S01XA20,214086,Cationorm,_,øjendråber,10 ml,1260.6,22.0,,,,,,,,,,,,,,,,,57.3,1.0,,,,,,,,,,,,,,,229.2,4.0,,,,,57.3,1.0,114.6,2.0,,,343.8,6.0,,,,,,,229.2,4.0,,,,,,,,,,,,,,,,,,,114.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.6,2.0,10.0,1.0
"NK, Department of Neurosurgery",S01XA20,539668,Øjensalve Neutral Ophtha,200 mg/g,øjensalve,5 ml,2494.8,45.0,,,221.76,4.0,,,,,,,,,221.76,4.0,,,,,,,166.32,3.0,,,,,110.88,2.0,,,,,221.76,4.0,,,,,,,221.76,4.0,,,221.76,4.0,,,332.64,6.0,,,221.76,4.0,,,221.76,4.0,,,,,,,,,,,,,,,,,,,,,332.64,6.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0
"NK, Department of Neurosurgery",S01AA01,190036,Kloramfenikol Santen,10 mg/g,øjensalve,"3,5 g",225.0,5.0,,,,,,,,,,,,,,,,,90.0,2.0,,,90.0,2.0,,,,,,,,,,,,,45.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5
"NK, Department of Neurosurgery",S01AA01,544275,Kloramfenikol Santen,10 mg/g,øjensalve,"4,3 g",91.84,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.92,1.0,,,45.92,1.0,4.3,4.3
"NK, Department of Neurosurgery",S01AA01,549654,Kloramfenikol Santen,5 mg/ml,"øjendrb.,opl.,endos.","30 x 0,25 ml",60.69,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.69,1.0,,,,,,,,,0.25,30.0
"NK, Department of Neurosurgery",S01AA13,515608,Fucithalmic,1%,"øjendråber, susp.",5 g,145.04,3.0,,,,,,,,,,,,,,,,,,,,,,,99.94,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0
